SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead,
+0s,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
+1s,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
+2s,4.608,9,10,protocol,7.5,30,254,8.46667,20,20,1,1,1,1,1,1,1,1,1,1,0.637751,10
+3s,12.288,24,10,protocol,7.5,40,292,7.3,40,40,1,1,1,1,1,1,1,1,1,1,0.561606,10
+4s,12.288,24,10,protocol,7.5,40,308,7.7,40,40,1,1,1,1,1,1,1,1,1,1,0.55086,10
+5s,12.288,24,10,protocol,7.5,40,319,7.975,40,40,1,1,1,1,1,1,1,1,1,1,0.519241,10
+6s,12.288,24,10,protocol,7.5,40,320,8,40,40,1,1,1,1,1,1,1,1,1,1,0.496453,10
+7s,12.288,24,10,protocol,7.5,40,304,7.6,40,39,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.491794,10
+8s,11.776,23,10,protocol,7.5,40,297,7.425,40,40,1,1,1,1,1,1,1,1,1,1,0.487057,10
+9s,10.24,20,10,protocol,7.5,40,210,5.25,40,40,1,1,1,1,1,1,1,1,1,1,0.486266,10
+10s,8.704,17,10,protocol,7.5,40,112,2.8,40,40,1,1,1,1,1,1,1,1,1,1,0.492811,10
+11s,8.192,16,10,protocol,7.5,40,100,2.5,40,40,1,1,1,1,1,1,1,1,1,1,0.493192,10
+12s,8.192,16,10,protocol,7.5,40,100,2.5,40,40,1,1,1,1,1,1,0.625,0.625,0.625,0.625,0.493715,10
+13s,8.192,16,10,protocol,7.5,40,100,2.5,40,40,1,1,1,1,1,1,0.408163,0.408163,0.408163,0.408163,0.499602,10
