SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
+0s,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
+1s,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
+2s,4.608,9,10,protocol,7.5,30,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0.23302,10
+3s,12.288,24,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,297806,10
+4s,12.288,24,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,226027,10
+5s,12.288,24,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,187013,10
+6s,12.288,24,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,159937,10
+7s,12.288,24,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,139709,10
+8s,11.776,23,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,119930,10
+9s,10.24,20,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,102173,10
+10s,8.704,17,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,88690.5,10
+11s,8.192,16,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,83921.1,10
+12s,8.192,16,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,79638.6,10
+13s,8.192,16,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,75857.5,10
+14s,8.192,16,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,72536.6,10
+15s,8.192,16,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,69494.3,10
+16s,8.192,16,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,66362.9,10
+17s,8.192,16,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,63359.2,10
+18s,8.192,16,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,61025.6,10
+19s,8.192,16,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,58857.8,10
+20s,8.192,16,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,56838.7,10
+21s,8.192,16,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,54953.5,10
+22s,8.192,16,10,protocol,7.5,50,0,0,40,0,0,0,0,0,0,0,0,0,0,0,52459.1,10
+23s,8.192,16,10,protocol,7.5,50,0,0,40,0,0,0,0,0,0,0,0,0,0,0,50849.1,10
+24s,8.192,16,10,protocol,7.5,50,0,0,40,0,0,0,0,0,0,0,0,0,0,0,49237.7,10
+25s,8.192,16,10,protocol,7.5,50,0,0,40,0,0,0,0,0,0,0,0,0,0,0,47765.6,10
+26s,8.192,16,10,protocol,7.5,50,0,0,40,0,0,0,0,0,0,0,0,0,0,0,46102.2,10
+27s,8.192,16,10,protocol,7.5,50,0,0,40,0,0,0,0,0,0,0,0,0,0,0,44600.7,10
+28s,8.192,16,10,protocol,7.5,60,0,0,40,0,0,0,0,0,0,0,0,0,0,0,43192.2,10
+29s,8.192,16,10,protocol,7.5,60,0,0,40,0,0,0,0,0,0,0,0,0,0,0,42094.7,10
+30s,6.656,13,10,protocol,7.5,60,0,0,54,0,0,0,0,0,0,0,0,0,0,0,39955.6,10
