SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
+0s,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+1s,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
+2s,4.608,9,10,protocol,7.5,30,294,9.8,20,20,1,1,1,1,1,1,1,1,1,1,0.677413
+3s,12.288,24,10,protocol,7.5,40,332,8.3,40,40,1,1,1,1,1,1,1,1,1,1,0.62627
+4s,10.24,20,10,protocol,7.5,40,335,8.375,40,40,1,1,1,1,1,1,1,1,1,1,0.662954
+5s,14.336,28,10,protocol,7.5,40,359,8.975,40,40,1,1,1,1,1,1,1,1,1,1,0.628959
+6s,12.288,24,10,protocol,7.5,40,360,9,40,40,1,1,1,1,1,1,1,1,1,1,0.600058
+7s,12.288,24,10,protocol,7.5,40,354,8.85,40,40,1,1,1,1,1,1,1,1,1,1,0.586125
+8s,11.776,23,10,protocol,7.5,40,325,8.125,40,40,1,1,1,1,1,1,1,1,1,1,0.577456
+9s,11.264,22,10,protocol,7.5,40,218,5.45,40,40,1,1,1,1,1,1,1,1,1,1,0.571748
+10s,8.704,17,10,protocol,7.5,40,112,2.8,40,40,1,1,1,1,1,1,1,1,1,1,0.572595
+11s,8.192,16,10,protocol,7.5,40,100,2.5,40,40,1,1,1,1,1,1,1,1,1,1,0.571915
+12s,8.192,16,10,protocol,7.5,40,100,2.5,40,40,1,1,1,1,1,1,0.625,0.625,0.625,0.625,0.571152
+13s,8.192,16,10,protocol,7.5,40,100,2.5,40,40,1,1,1,1,1,1,0.408163,0.408163,0.408163,0.408163,0.576955
+14s,8.192,16,10,protocol,7.5,40,100,2.5,40,40,1,1,1,1,1,1,0.333333,0.333333,0.333333,0.333333,0.607344
+15s,8.192,16,10,protocol,7.5,40,100,2.5,40,40,1,1,1,1,1,0.645161,0.333333,0.333333,0.333333,0.333333,0.613022
+16s,8.192,16,10,protocol,7.5,40,100,2.5,40,40,1,1,1,1,1,0.487805,0.333333,0.333333,0.333333,0.333333,0.610499
+17s,8.192,16,10,protocol,7.5,40,100,2.5,40,40,1,1,1,1,1,0.333333,0.333333,0.333333,0.333333,0.333333,0.610893
+18s,8.192,16,10,protocol,7.5,40,100,2.5,40,40,1,1,1,1,0.689655,0.333333,0.333333,0.333333,0.333333,0.333333,0.609263
+19s,8.192,16,10,protocol,7.5,40,100,2.5,40,40,1,1,1,1,0.5,0.333333,0.333333,0.333333,0.333333,0.333333,0.611853
+20s,8.192,16,10,protocol,7.5,40,100,2.5,40,40,1,1,1,1,0.377358,0.333333,0.333333,0.333333,0.333333,0.333333,0.609711
+21s,8.192,16,10,protocol,7.5,40,100,2.5,40,40,1,1,1,0.8,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.607699
+22s,8.192,16,10,protocol,7.5,50,210,4.2,40,40,1,1,1,0.5,0.333333,0.333333,0.25,0.25,0.25,0.25,0.604466
+23s,8.192,16,10,protocol,7.5,50,210,4.2,40,40,1,1,1,0.465116,0.333333,0.333333,0.25,0.25,0.25,0.25,0.603417
+24s,8.192,16,10,protocol,7.5,50,214,4.28,40,40,1,1,1,0.333333,0.333333,0.333333,0.25,0.25,0.25,0.25,0.611362
+25s,8.192,16,10,protocol,7.5,50,223,4.46,40,40,1,1,0.512821,0.333333,0.333333,0.285714,0.25,0.25,0.25,0.25,0.612799
+26s,8.192,16,10,protocol,7.5,50,234,4.68,40,40,1,1,0.575,0.383333,0.383333,0.328571,0.2875,0.2875,0.2875,0.2875,0.611629
+27s,8.192,16,10,protocol,7.5,50,266,5.32,40,39,0.975,0.978261,0.703704,0.633333,0.633333,0.542857,0.475,0.475,0.475,0.475,0.608675
+28s,8.192,16,10,protocol,7.5,60,310,5.16667,40,40,1,1,0.716667,0.716667,0.716667,0.477778,0.40566,0.40566,0.40566,0.40566,0.605624
+29s,8.192,16,10,protocol,7.5,60,316,5.26667,40,40,1,1,0.966667,0.966667,0.966667,0.644444,0.527273,0.527273,0.527273,0.527273,0.601928
+30s,6.144,12,10,protocol,7.5,60,263,4.38333,54,54,1,1,1,1,1,0.652174,0.521739,0.521739,0.521739,0.521739,0.603597
+31s,6.144,12,10,protocol,7.5,60,230,3.83333,76,76,1,1,1,1,1,0.6,0.487805,0.487805,0.487805,0.487805,0.601986
+32s,6.144,12,10,protocol,7.5,60,230,3.83333,100,100,1,1,1,1,1,0.6,0.451128,0.451128,0.451128,0.451128,0.600413
+33s,6.144,12,10,protocol,7.5,70,350,5,118,118,1,1,1,1,1,0.526316,0.428571,0.428571,0.428571,0.428571,0.598871
+34s,6.144,12,10,protocol,7.5,70,350,5,102,102,1,1,1,1,0.967742,0.483871,0.428571,0.428571,0.428571,0.428571,0.599003
+35s,6.144,12,10,protocol,7.5,70,337,4.81429,76,76,1,1,1,1,0.779221,0.491803,0.428571,0.428571,0.428571,0.428571,0.599325
+36s,6.144,12,10,protocol,7.5,70,330,4.71429,56,56,1,1,1,1,0.659341,0.46875,0.428571,0.428571,0.428571,0.428571,0.598082
+37s,6.144,12,10,protocol,7.5,70,324,4.62857,40,40,1,1,1,0.857143,0.6,0.461538,0.428571,0.428571,0.428571,0.428571,0.596047
+38s,6.144,12,10,protocol,7.5,70,297,4.24286,40,40,1,1,0.891667,0.677215,0.535,0.411538,0.382143,0.382143,0.382143,0.382143,0.594794
+39s,6.144,12,10,protocol,7.5,70,278,3.97143,40,40,1,0.966667,0.681818,0.5625,0.424528,0.371901,0.321429,0.321429,0.321429,0.321429,0.592997
+40s,6.144,12,10,protocol,7.5,70,255,3.64286,40,39,0.975,0.975,0.443038,0.4375,0.299145,0.291667,0.25,0.25,0.25,0.25,0.591551
+41s,6.144,12,10,protocol,7.5,70,258,3.68571,40,40,1,1,0.485915,0.43125,0.2875,0.2875,0.246429,0.246429,0.246429,0.246429,0.589971
+42s,6.144,12,10,protocol,7.5,70,270,3.85714,40,39,0.975,0.977273,0.613636,0.50625,0.3375,0.331967,0.289286,0.289286,0.289286,0.289286,0.589618
+43s,6.144,12,10,protocol,7.5,80,385,4.8125,56,56,1,0.965116,0.795082,0.521505,0.373077,0.346429,0.323333,0.323333,0.323333,0.323333,0.587569
+44s,6.144,12,10,protocol,7.5,80,384,4.8,40,40,1,0.98,0.816667,0.544444,0.376923,0.35,0.30625,0.30625,0.30625,0.30625,0.586131
+45s,6.144,12,10,protocol,7.5,80,390,4.875,36,36,1,0.99,0.951923,0.592814,0.383721,0.353571,0.280453,0.280453,0.280453,0.280453,0.585442
+46s,6.144,12,10,protocol,7.5,80,382,4.775,20,20,1,1,0.97,0.613924,0.429204,0.346429,0.269444,0.269444,0.269444,0.269444,0.585997
+47s,6.144,12,10,protocol,7.5,80,373,4.6625,28,28,1,1,0.96,0.607595,0.436364,0.333333,0.266667,0.266667,0.266667,0.266667,0.584639
+48s,6.144,12,10,protocol,7.5,80,373,4.6625,40,38,0.95,0.95,0.84,0.6,0.451613,0.26087,0.219895,0.219895,0.219895,0.219895,0.582956
+49s,6.144,12,10,protocol,7.5,80,378,4.725,40,40,1,1,0.8,0.571429,0.444444,0.25,0.2,0.2,0.2,0.2,0.582121
+50s,6.144,12,10,protocol,7.5,80,375,4.6875,40,40,1,0.985714,0.79,0.564286,0.434066,0.251592,0.1975,0.1975,0.1975,0.1975,0.583048
+51s,6.144,12,10,protocol,7.5,80,362,4.525,40,40,1,1,0.75,0.580645,0.378947,0.246575,0.18,0.18,0.18,0.18,0.581652
+52s,4.096,8,10,protocol,7.5,80,320,4,40,40,1,1,0.75,0.491803,0.277778,0.208333,0.157895,0.157895,0.157895,0.157895,0.581005
+53s,4.096,8,10,protocol,7.5,80,304,3.8,24,22,0.916667,0.966667,0.783784,0.414286,0.27619,0.204225,0.15847,0.15847,0.15847,0.15847,0.579856
+54s,4.096,8,10,protocol,7.5,80,330,4.125,20,20,1,1,1,0.491803,0.3,0.214286,0.170455,0.170455,0.170455,0.170455,0.57852
+55s,4.096,8,10,protocol,7.5,90,338,3.75556,20,20,1,0.966667,0.54717,0.302083,0.208633,0.161111,0.136792,0.136792,0.136792,0.136792,0.577922
+56s,4.096,8,10,protocol,7.5,90,344,3.82222,20,20,1,1,0.541667,0.300926,0.249042,0.180556,0.154762,0.154762,0.154762,0.154762,0.582059
+57s,4.096,8,10,protocol,7.5,90,352,3.91111,20,20,1,1,0.629032,0.386139,0.280576,0.216667,0.19403,0.19403,0.19403,0.19403,0.580679
+58s,4.096,8,10,protocol,7.5,90,356,3.95556,20,20,1,0.95,0.608333,0.405556,0.268382,0.202778,0.192105,0.192105,0.192105,0.192105,0.579155
+59s,4.096,8,10,protocol,7.5,90,363,4.03333,20,20,1,1,0.544118,0.411111,0.284615,0.228395,0.194737,0.194737,0.194737,0.194737,0.578658
+60s,4.096,8,10,protocol,7.5,90,376,4.17778,20,20,1,1,0.506329,0.40404,0.3125,0.266667,0.210526,0.210526,0.210526,0.210526,0.577293
+61s,4.096,8,10,protocol,7.5,90,394,4.37778,20,20,1,0.942308,0.64375,0.468182,0.429167,0.35034,0.287709,0.287709,0.287709,0.287709,0.576582
+62s,4.096,8,10,protocol,7.5,90,409,4.54444,20,20,1,0.928571,0.7125,0.57,0.475,0.407143,0.335294,0.335294,0.335294,0.335294,0.575118
+63s,4.096,8,10,protocol,7.5,90,406,4.51111,20,20,1,0.988636,0.58046,0.505,0.420833,0.341216,0.295322,0.295322,0.295322,0.295322,0.57417
+64s,4.096,8,10,protocol,7.5,130,862,6.63077,66,66,1,0.96729,0.701117,0.6275,0.54329,0.464815,0.380303,0.380303,0.380303,0.380303,0.571294
+65s,4.096,8,10,protocol,7.5,130,939,7.22308,88,87,0.988636,0.939394,0.765896,0.6625,0.552083,0.490741,0.414062,0.414062,0.414062,0.414062,0.568894
+66s,4.096,8,10,protocol,7.5,130,949,7.3,102,93,0.911765,0.908451,0.808989,0.72,0.6,0.512456,0.43769,0.43769,0.43769,0.43769,0.56908
+67s,4.096,8,10,protocol,7.5,130,1072,8.24615,152,152,1,1,0.994118,0.808612,0.704167,0.563333,0.512121,0.512121,0.512121,0.512121,0.567093
+68s,4.096,8,10,protocol,7.5,130,1074,8.26154,196,196,1,1,1,0.779817,0.699588,0.537975,0.515152,0.515152,0.515152,0.515152,0.564764
+69s,4.096,8,10,protocol,7.5,130,996,7.66154,192,191,0.994792,0.979412,0.979412,0.792857,0.658103,0.520312,0.504545,0.504545,0.504545,0.504545,0.562365
+70s,3.072,6,10,protocol,7.5,130,990,7.61538,168,165,0.982143,0.972727,0.970588,0.800971,0.617978,0.515625,0.5,0.5,0.5,0.5,0.560452
+71s,2.048,4,10,protocol,7.5,130,894,6.87692,119,111,0.932773,0.913462,0.873529,0.710526,0.510309,0.464062,0.45,0.45,0.45,0.45,0.560195
+72s,2.048,4,10,protocol,7.5,130,869,6.68462,100,100,1,0.992647,0.904192,0.712264,0.510135,0.472613,0.460366,0.460366,0.460366,0.460366,0.559154
+73s,3.072,6,10,protocol,7.5,130,716,5.50769,98,95,0.969388,0.954167,0.823171,0.613636,0.465517,0.435484,0.412844,0.412844,0.412844,0.412844,0.557769
+74s,2.048,4,10,protocol,7.5,130,686,5.27692,80,79,0.9875,0.966387,0.813665,0.603687,0.461268,0.422581,0.392216,0.392216,0.392216,0.392216,0.556269
+75s,2.048,4,10,protocol,7.5,130,684,5.26154,74,74,1,0.966981,0.755882,0.611905,0.46223,0.414516,0.369253,0.369253,0.369253,0.369253,0.554747
+76s,2.048,4,10,protocol,7.5,130,656,5.04615,70,70,1,0.953704,0.76875,0.588517,0.473077,0.395498,0.345506,0.345506,0.345506,0.345506,0.554063
+77s,2.048,4,10,protocol,7.5,130,592,4.55385,80,80,1,0.929825,0.773026,0.559524,0.468127,0.371835,0.317568,0.317568,0.317568,0.317568,0.553736
+78s,2.048,4,10,protocol,7.5,130,639,4.91538,80,78,0.975,0.956731,0.802817,0.542857,0.495652,0.357367,0.284289,0.284289,0.284289,0.284289,0.552831
