SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
+0s,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+1s,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
+2s,4.608,9,10,protocol,7.5,30,294,9.8,20,20,1,1,1,1,1,1,1,1,1,1,0.847998
+3s,12.288,24,10,protocol,7.5,40,332,8.3,40,40,1,1,1,1,1,1,1,1,1,1,0.709173
+4s,12.288,24,10,protocol,7.5,40,350,8.75,40,40,1,1,1,1,1,1,1,1,1,1,0.625416
+5s,12.288,24,10,protocol,7.5,40,359,8.975,40,40,1,1,1,1,1,1,1,1,1,1,0.588019
+6s,12.288,24,10,protocol,7.5,40,360,9,40,40,1,1,1,1,1,1,1,1,1,1,0.543488
+7s,12.288,24,10,protocol,7.5,40,354,8.85,40,40,1,1,1,1,1,1,1,1,1,1,0.509165
+8s,11.776,23,10,protocol,7.5,40,325,8.125,40,40,1,1,1,1,1,1,1,1,1,1,0.484759
+9s,10.24,20,10,protocol,7.5,40,221,5.525,40,40,1,1,1,1,1,1,1,1,1,1,0.474185
+10s,8.704,17,10,protocol,7.5,40,112,2.8,40,40,1,1,1,1,1,1,1,1,1,1,0.473516
+11s,8.192,16,10,protocol,7.5,40,100,2.5,40,40,1,1,1,1,1,1,1,1,1,1,0.473359
+12s,8.192,16,10,protocol,7.5,40,100,2.5,40,40,1,1,1,1,1,1,0.625,0.625,0.625,0.625,0.473232
+13s,8.192,16,10,protocol,7.5,40,100,2.5,40,40,1,1,1,1,1,1,0.408163,0.408163,0.408163,0.408163,0.473127
+14s,8.192,16,10,protocol,7.5,40,100,2.5,40,40,1,1,1,1,1,1,0.333333,0.333333,0.333333,0.333333,0.473038
+15s,8.192,16,10,protocol,7.5,40,100,2.5,40,40,1,1,1,1,1,0.645161,0.333333,0.333333,0.333333,0.333333,0.472962
+16s,8.192,16,10,protocol,7.5,40,99,2.475,40,40,1,1,1,1,1,0.487805,0.333333,0.333333,0.333333,0.333333,0.519375
+17s,8.192,16,10,protocol,7.5,40,100,2.5,40,40,1,1,1,1,1,0.333333,0.333333,0.333333,0.333333,0.333333,0.516607
+18s,8.192,16,10,protocol,7.5,40,100,2.5,40,40,1,1,1,1,0.689655,0.333333,0.333333,0.333333,0.333333,0.333333,0.514144
+19s,8.192,16,10,protocol,7.5,40,100,2.5,40,40,1,1,1,1,0.5,0.333333,0.333333,0.333333,0.333333,0.333333,0.518916
+20s,8.192,16,10,protocol,7.5,40,100,2.5,40,40,1,1,1,1,0.377358,0.333333,0.333333,0.333333,0.333333,0.333333,0.522184
+21s,8.192,16,10,protocol,7.5,40,100,2.5,40,40,1,1,1,0.8,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.52632
+22s,8.192,16,10,protocol,7.5,50,210,4.2,40,40,1,1,1,0.5,0.333333,0.333333,0.25,0.25,0.25,0.25,0.522703
+23s,8.192,16,10,protocol,7.5,50,210,4.2,40,40,1,1,1,0.465116,0.333333,0.333333,0.25,0.25,0.25,0.25,0.519254
+24s,8.192,16,10,protocol,7.5,50,214,4.28,40,40,1,1,1,0.333333,0.333333,0.333333,0.25,0.25,0.25,0.25,0.516283
+25s,8.192,16,10,protocol,7.5,50,223,4.46,40,40,1,1,0.512821,0.333333,0.333333,0.285714,0.25,0.25,0.25,0.25,0.514698
+26s,8.192,16,10,protocol,7.5,50,235,4.7,40,40,1,1,0.575,0.383333,0.383333,0.328571,0.2875,0.2875,0.2875,0.2875,0.51186
+27s,8.192,16,10,protocol,7.5,50,266,5.32,40,39,0.975,0.978261,0.703704,0.633333,0.633333,0.542857,0.475,0.475,0.475,0.475,0.509244
+28s,8.192,16,10,protocol,7.5,60,310,5.16667,40,40,1,1,0.716667,0.716667,0.716667,0.477778,0.40566,0.40566,0.40566,0.40566,0.505738
+29s,8.192,16,10,protocol,7.5,60,316,5.26667,40,40,1,1,0.966667,0.966667,0.966667,0.644444,0.527273,0.527273,0.527273,0.527273,0.502447
+30s,6.656,13,10,protocol,7.5,60,261,4.35,54,54,1,1,1,1,1,0.652174,0.521739,0.521739,0.521739,0.521739,0.50134
+31s,6.144,12,10,protocol,7.5,60,230,3.83333,76,76,1,1,1,1,1,0.6,0.487805,0.487805,0.487805,0.487805,0.520516
+32s,6.144,12,10,protocol,7.5,60,230,3.83333,100,100,1,1,1,1,1,0.6,0.451128,0.451128,0.451128,0.451128,0.519175
+33s,6.144,12,10,protocol,7.5,70,350,5,118,118,1,1,1,1,1,0.526316,0.428571,0.428571,0.428571,0.428571,0.517595
+34s,6.144,12,10,protocol,7.5,70,350,5,102,102,1,1,1,1,0.967742,0.483871,0.428571,0.428571,0.428571,0.428571,0.519245
+35s,6.144,12,10,protocol,7.5,70,337,4.81429,76,76,1,1,1,1,0.779221,0.491803,0.428571,0.428571,0.428571,0.428571,0.520202
+36s,6.144,12,10,protocol,7.5,70,330,4.71429,56,56,1,1,1,1,0.659341,0.46875,0.428571,0.428571,0.428571,0.428571,0.520746
+37s,6.144,12,10,protocol,7.5,70,317,4.52857,40,38,0.95,0.95,0.95,0.814286,0.57,0.438462,0.407143,0.407143,0.407143,0.407143,0.519586
+38s,6.144,12,10,protocol,7.5,70,297,4.24286,40,40,1,1,0.891667,0.677215,0.535,0.411538,0.382143,0.382143,0.382143,0.382143,0.51855
+39s,6.144,12,10,protocol,7.5,70,279,3.98571,40,40,1,0.983333,0.689394,0.56875,0.429245,0.376033,0.325,0.325,0.325,0.325,0.517713
+40s,6.144,12,10,protocol,7.5,70,256,3.65714,40,39,0.975,0.975,0.443038,0.4375,0.299145,0.291667,0.25,0.25,0.25,0.25,0.516215
+41s,6.144,12,10,protocol,7.5,70,255,3.64286,40,40,1,1,0.478873,0.425,0.283333,0.283333,0.242857,0.242857,0.242857,0.242857,0.51497
+42s,6.144,12,10,protocol,7.5,70,270,3.85714,40,39,0.975,0.977273,0.621212,0.5125,0.341667,0.336066,0.292857,0.292857,0.292857,0.292857,0.513639
+43s,6.144,12,10,protocol,7.5,80,385,4.8125,56,56,1,0.965116,0.795082,0.521505,0.373077,0.346429,0.323333,0.323333,0.323333,0.323333,0.511661
+44s,6.144,12,10,protocol,7.5,80,386,4.825,40,40,1,0.99,0.825,0.55,0.380769,0.353571,0.309375,0.309375,0.309375,0.309375,0.509913
+45s,6.144,12,10,protocol,7.5,80,388,4.85,36,36,1,0.98,0.942308,0.586826,0.379845,0.35,0.27762,0.27762,0.27762,0.27762,0.508119
+46s,6.144,12,10,protocol,7.5,80,383,4.7875,20,20,1,1,0.98,0.620253,0.433628,0.35,0.272222,0.272222,0.272222,0.272222,0.516539
+47s,6.144,12,10,protocol,7.5,80,373,4.6625,28,28,1,1,0.96,0.607595,0.436364,0.333333,0.266667,0.266667,0.266667,0.266667,0.513322
+48s,6.144,12,10,protocol,7.5,80,373,4.6625,40,38,0.95,0.95,0.84,0.6,0.451613,0.26087,0.219895,0.219895,0.219895,0.219895,0.511893
+49s,6.144,12,10,protocol,7.5,80,377,4.7125,40,40,1,1,0.8,0.571429,0.444444,0.25,0.2,0.2,0.2,0.2,0.511916
+50s,6.144,12,10,protocol,7.5,80,374,4.675,40,40,1,0.971429,0.78,0.557143,0.428571,0.248408,0.195,0.195,0.195,0.195,0.510095
+51s,6.144,12,10,protocol,7.5,80,362,4.525,40,40,1,1,0.75,0.580645,0.378947,0.246575,0.18,0.18,0.18,0.18,0.50631
+52s,4.096,8,10,protocol,7.5,80,331,4.1375,40,40,1,1,0.75,0.491803,0.277778,0.208333,0.157895,0.157895,0.157895,0.157895,0.504549
+53s,4.096,8,10,protocol,7.5,80,304,3.8,24,22,0.916667,0.966667,0.783784,0.414286,0.27619,0.204225,0.15847,0.15847,0.15847,0.15847,0.502417
+54s,4.096,8,10,protocol,7.5,80,330,4.125,20,20,1,1,1,0.491803,0.3,0.214286,0.170455,0.170455,0.170455,0.170455,0.500196
+55s,4.096,8,10,protocol,7.5,90,337,3.74444,20,20,1,0.966667,0.54717,0.302083,0.208633,0.161111,0.136792,0.136792,0.136792,0.136792,0.497535
+56s,4.096,8,10,protocol,7.5,90,343,3.81111,20,20,1,1,0.541667,0.300926,0.249042,0.180556,0.154762,0.154762,0.154762,0.154762,0.494815
+57s,4.096,8,10,protocol,7.5,90,362,4.02222,20,20,1,0.983333,0.620968,0.381188,0.276978,0.213889,0.191542,0.191542,0.191542,0.191542,0.492206
+58s,4.096,8,10,protocol,7.5,90,356,3.95556,20,20,1,0.95,0.6,0.4,0.264706,0.2,0.189474,0.189474,0.189474,0.189474,0.489702
+59s,4.096,8,10,protocol,7.5,90,363,4.03333,20,20,1,1,0.544118,0.411111,0.284615,0.228395,0.194737,0.194737,0.194737,0.194737,0.487328
+60s,4.096,8,10,protocol,7.5,90,374,4.15556,20,20,1,0.983333,0.5,0.39899,0.308594,0.263333,0.207895,0.207895,0.207895,0.207895,0.485069
+61s,4.096,8,10,protocol,7.5,90,395,4.38889,20,20,1,0.942308,0.65,0.472727,0.433333,0.353741,0.290503,0.290503,0.290503,0.290503,0.492676
+62s,4.096,8,10,protocol,7.5,90,411,4.56667,20,20,1,0.928571,0.70625,0.565,0.470833,0.403571,0.332353,0.332353,0.332353,0.332353,0.49106
+63s,4.096,8,10,protocol,7.5,90,405,4.5,20,20,1,0.988636,0.58046,0.505,0.420833,0.341216,0.295322,0.295322,0.295322,0.295322,0.490076
+64s,4.096,8,10,protocol,7.5,130,858,6.6,66,65,0.984848,0.957944,0.692737,0.62,0.536797,0.459259,0.375758,0.375758,0.375758,0.375758,0.488891
+65s,4.096,8,10,protocol,7.5,130,905,6.96154,88,85,0.965909,0.901515,0.734104,0.635,0.529167,0.47037,0.396875,0.396875,0.396875,0.396875,0.48709
+66s,4.096,8,10,protocol,7.5,130,947,7.28462,102,93,0.911765,0.908451,0.811798,0.7225,0.602083,0.514235,0.43921,0.43921,0.43921,0.43921,0.485228
+67s,4.096,8,10,protocol,7.5,130,1072,8.24615,152,152,1,1,0.994118,0.808612,0.704167,0.563333,0.512121,0.512121,0.512121,0.512121,0.482288
+68s,4.096,8,10,protocol,7.5,130,1075,8.26923,196,196,1,1,1,0.779817,0.699588,0.537975,0.515152,0.515152,0.515152,0.515152,0.479833
+69s,4.096,8,10,protocol,7.5,130,993,7.63846,192,191,0.994792,0.976471,0.976471,0.790476,0.656126,0.51875,0.50303,0.50303,0.50303,0.50303,0.477196
+70s,3.072,6,10,protocol,7.5,130,1020,7.84615,168,168,1,1,1,0.825243,0.636704,0.53125,0.515152,0.515152,0.515152,0.515152,0.474715
+71s,2.048,4,10,protocol,7.5,130,914,7.03077,119,115,0.966387,0.942308,0.897059,0.729665,0.524055,0.476562,0.462121,0.462121,0.462121,0.462121,0.473095
+72s,2.048,4,10,protocol,7.5,130,867,6.66923,100,100,1,0.992647,0.904192,0.712264,0.510135,0.472613,0.460366,0.460366,0.460366,0.460366,0.472053
+73s,2.048,4,10,protocol,7.5,130,717,5.51538,98,95,0.969388,0.945833,0.817073,0.609091,0.462069,0.432258,0.409786,0.409786,0.409786,0.409786,0.470854
+74s,2.048,4,10,protocol,7.5,130,669,5.14615,80,79,0.9875,0.945378,0.795031,0.589862,0.450704,0.412903,0.383234,0.383234,0.383234,0.383234,0.469541
+75s,2.048,4,10,protocol,7.5,130,685,5.26923,74,74,1,0.966981,0.755882,0.611905,0.46223,0.414516,0.369253,0.369253,0.369253,0.369253,0.468276
+76s,2.048,4,10,protocol,7.5,130,652,5.01538,70,70,1,0.944444,0.759375,0.58134,0.467308,0.390675,0.341292,0.341292,0.341292,0.341292,0.475257
+77s,2.048,4,10,protocol,7.5,130,611,4.7,80,80,1,0.947368,0.802632,0.580952,0.486056,0.386076,0.32973,0.32973,0.32973,0.32973,0.473786
+78s,2.048,4,10,protocol,7.5,130,639,4.91538,80,78,0.975,0.961538,0.799296,0.540476,0.493478,0.355799,0.283042,0.283042,0.283042,0.283042,0.472524
