SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
+0s,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+1s,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+2s,4.608,9,10,protocol,7.5,30,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0.327847
+3s,12.288,24,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,273321
+4s,12.288,24,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,211637
+5s,12.288,24,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,177053
+6s,12.288,24,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,152595
+7s,12.288,24,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,134074
+8s,11.776,23,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,115754
+9s,11.776,23,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,92579.2
+10s,8.704,17,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,77022.6
+11s,8.192,16,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,73279.7
+12s,8.192,16,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,70102.8
+13s,8.192,16,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,66988.6
+14s,8.192,16,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,64385.5
+15s,8.192,16,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,61977.1
+16s,8.192,16,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,59553.6
+17s,8.192,16,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,57050.5
+18s,8.192,16,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,55151.5
+19s,8.192,16,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,53374.9
+20s,8.192,16,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,51709.1
+21s,8.192,16,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,50144.1
+22s,8.192,16,10,protocol,7.5,50,0,0,40,0,0,0,0,0,0,0,0,0,0,0,47928.1
+23s,8.192,16,10,protocol,7.5,50,0,0,40,0,0,0,0,0,0,0,0,0,0,0,46580.6
+24s,8.192,16,10,protocol,7.5,50,0,0,40,0,0,0,0,0,0,0,0,0,0,0,45270.5
+25s,8.192,16,10,protocol,7.5,50,0,0,40,0,0,0,0,0,0,0,0,0,0,0,43979.8
+26s,8.192,16,10,protocol,7.5,50,0,0,40,0,0,0,0,0,0,0,0,0,0,0,42565.7
+27s,8.192,16,10,protocol,7.5,50,0,0,40,0,0,0,0,0,0,0,0,0,0,0,41282.5
+28s,8.192,16,10,protocol,7.5,60,0,0,40,0,0,0,0,0,0,0,0,0,0,0,40072.9
+29s,8.192,16,10,protocol,7.5,60,0,0,40,0,0,0,0,0,0,0,0,0,0,0,39126.6
+30s,6.656,13,10,protocol,7.5,60,0,0,54,0,0,0,0,0,0,0,0,0,0,0,37173.7
+31s,6.144,12,10,protocol,7.5,60,0,0,76,0,0,0,0,0,0,0,0,0,0,0,36498.8
+32s,6.144,12,10,protocol,7.5,60,0,0,100,0,0,0,0,0,0,0,0,0,0,0,35905.5
+33s,6.144,12,10,protocol,7.5,70,0,0,118,0,0,0,0,0,0,0,0,0,0,0,34983.5
+34s,6.144,12,10,protocol,7.5,70,0,0,102,0,0,0,0,0,0,0,0,0,0,0,34417.1
+35s,6.144,12,10,protocol,7.5,70,0,0,76,0,0,0,0,0,0,0,0,0,0,0,33817.5
+36s,6.144,12,10,protocol,7.5,70,0,0,56,0,0,0,0,0,0,0,0,0,0,0,33083.8
+37s,6.144,12,10,protocol,7.5,70,0,0,40,0,0,0,0,0,0,0,0,0,0,0,32501.8
+38s,6.144,12,10,protocol,7.5,70,0,0,40,0,0,0,0,0,0,0,0,0,0,0,32007.6
+39s,6.144,12,10,protocol,7.5,70,0,0,40,0,0,0,0,0,0,0,0,0,0,0,31532.7
+40s,6.144,12,10,protocol,7.5,70,0,0,40,0,0,0,0,0,0,0,0,0,0,0,31088.9
+41s,6.144,12,10,protocol,7.5,70,0,0,40,0,0,0,0,0,0,0,0,0,0,0,30657.3
+42s,6.144,12,10,protocol,7.5,70,0,0,40,0,0,0,0,0,0,0,0,0,0,0,30221.4
+43s,6.144,12,10,protocol,7.5,80,0,0,56,0,0,0,0,0,0,0,0,0,0,0,29585.1
+44s,6.144,12,10,protocol,7.5,80,0,0,40,0,0,0,0,0,0,0,0,0,0,0,29194
+45s,6.144,12,10,protocol,7.5,80,0,0,36,0,0,0,0,0,0,0,0,0,0,0,28761.4
+46s,6.144,12,10,protocol,7.5,80,0,0,20,0,0,0,0,0,0,0,0,0,0,0,28241.6
+47s,6.144,12,10,protocol,7.5,80,0,0,28,0,0,0,0,0,0,0,0,0,0,0,27773.9
+48s,6.144,12,10,protocol,7.5,80,0,0,40,0,0,0,0,0,0,0,0,0,0,0,27428.9
+49s,6.144,12,10,protocol,7.5,80,0,0,40,0,0,0,0,0,0,0,0,0,0,0,27079.4
+50s,6.144,12,10,protocol,7.5,80,0,0,40,0,0,0,0,0,0,0,0,0,0,0,26751.4
+51s,6.144,12,10,protocol,7.5,80,0,0,40,0,0,0,0,0,0,0,0,0,0,0,26431.2
+52s,4.608,9,10,protocol,7.5,80,0,0,40,0,0,0,0,0,0,0,0,0,0,0,25260.8
+53s,4.096,8,10,protocol,7.5,80,0,0,24,0,0,0,0,0,0,0,0,0,0,0,25041.5
+54s,4.096,8,10,protocol,7.5,80,0,0,20,0,0,0,0,0,0,0,0,0,0,0,24853.6
+55s,4.096,8,10,protocol,7.5,90,0,0,20,0,0,0,0,0,0,0,0,0,0,0,24595
+56s,4.096,8,10,protocol,7.5,90,0,0,20,0,0,0,0,0,0,0,0,0,0,0,24325.1
+57s,4.096,8,10,protocol,7.5,90,0,0,20,0,0,0,0,0,0,0,0,0,0,0,24043.4
+58s,4.096,8,10,protocol,7.5,90,0,0,20,0,0,0,0,0,0,0,0,0,0,0,23870.1
+59s,4.096,8,10,protocol,7.5,90,0,0,20,0,0,0,0,0,0,0,0,0,0,0,23699.2
+60s,4.096,8,10,protocol,7.5,90,0,0,20,0,0,0,0,0,0,0,0,0,0,0,23518.5
+61s,4.096,8,10,protocol,7.5,90,0,0,20,0,0,0,0,0,0,0,0,0,0,0,23332.8
+62s,4.096,8,10,protocol,7.5,90,0,0,20,0,0,0,0,0,0,0,0,0,0,0,23119.2
+63s,4.096,8,10,protocol,7.5,90,0,0,20,0,0,0,0,0,0,0,0,0,0,0,22958.9
+64s,4.096,8,10,protocol,7.5,130,0,0,66,0,0,0,0,0,0,0,0,0,0,0,22181.7
+65s,4.096,8,10,protocol,7.5,130,0,0,88,0,0,0,0,0,0,0,0,0,0,0,22012.4
+66s,4.096,8,10,protocol,7.5,130,0,0,102,0,0,0,0,0,0,0,0,0,0,0,21481.5
+67s,4.096,8,10,protocol,7.5,130,0,0,152,0,0,0,0,0,0,0,0,0,0,0,21209.8
+68s,4.096,8,10,protocol,7.5,130,0,0,196,0,0,0,0,0,0,0,0,0,0,0,21064.8
+69s,4.096,8,10,protocol,7.5,130,0,0,192,0,0,0,0,0,0,0,0,0,0,0,20923.8
+70s,3.072,6,10,protocol,7.5,130,0,0,168,0,0,0,0,0,0,0,0,0,0,0,20407
+71s,4.096,8,10,protocol,7.5,130,0,0,119,0,0,0,0,0,0,0,0,0,0,0,20127.2
+72s,3.584,7,10,protocol,7.5,130,0,0,100,0,0,0,0,0,0,0,0,0,0,0,19448.2
+73s,4.096,8,10,protocol,7.5,130,0,0,98,0,0,0,0,0,0,0,0,0,0,0,18962.5
+74s,4.096,8,10,protocol,7.5,130,0,0,80,0,0,0,0,0,0,0,0,0,0,0,18798.3
+75s,4.096,8,10,protocol,7.5,130,0,0,74,0,0,0,0,0,0,0,0,0,0,0,18621.5
+76s,4.096,8,10,protocol,7.5,130,0,0,70,0,0,0,0,0,0,0,0,0,0,0,18261.2
+77s,4.096,8,10,protocol,7.5,130,0,0,80,0,0,0,0,0,0,0,0,0,0,0,18056.2
+78s,4.096,8,10,protocol,7.5,130,0,0,80,0,0,0,0,0,0,0,0,0,0,0,17871.5
+79s,4.096,8,10,protocol,7.5,130,0,0,94,0,0,0,0,0,0,0,0,0,0,0,17720.1
+80s,4.096,8,10,protocol,7.5,130,0,0,84,0,0,0,0,0,0,0,0,0,0,0,17370.3
+81s,4.096,8,10,protocol,7.5,130,0,0,80,0,0,0,0,0,0,0,0,0,0,0,17183.3
+82s,3.584,7,10,protocol,7.5,130,0,0,83,0,0,0,0,0,0,0,0,0,0,0,16679.7
+83s,4.096,8,10,protocol,7.5,130,0,0,68,0,0,0,0,0,0,0,0,0,0,0,16507.2
+84s,4.096,8,10,protocol,7.5,130,0,0,60,0,0,0,0,0,0,0,0,0,0,0,16338.3
+85s,4.096,8,10,protocol,7.5,140,0,0,60,0,0,0,0,0,0,0,0,0,0,0,15902.9
+86s,3.584,7,10,protocol,7.5,140,0,0,68,0,0,0,0,0,0,0,0,0,0,0,15426.5
+87s,4.096,8,10,protocol,7.5,140,0,0,96,0,0,0,0,0,0,0,0,0,0,0,15153
+88s,4.096,8,10,protocol,7.5,140,0,0,100,0,0,0,0,0,0,0,0,0,0,0,14946.5
+89s,3.584,7,10,protocol,7.5,140,0,0,100,0,0,0,0,0,0,0,0,0,0,0,14706.7
+90s,4.096,8,10,protocol,7.5,140,0,0,86,0,0,0,0,0,0,0,0,0,0,0,14357.6
+91s,3.584,7,10,protocol,7.5,140,0,0,74,0,0,0,0,0,0,0,0,0,0,0,13993.7
+92s,4.096,8,10,protocol,7.5,140,0,0,58,0,0,0,0,0,0,0,0,0,0,0,13234.5
+93s,2.56,5,10,protocol,7.5,140,0,0,60,0,0,0,0,0,0,0,0,0,0,0,12538.1
+94s,2.048,4,10,protocol,7.5,140,0,0,60,0,0,0,0,0,0,0,0,0,0,0,11887.1
+95s,2.048,4,10,protocol,7.5,150,0,0,86,0,0,0,0,0,0,0,0,0,0,0,11164.1
+96s,2.048,4,10,protocol,7.5,150,0,0,110,0,0,0,0,0,0,0,0,0,0,0,9635.87
+97s,2.048,4,10,protocol,7.5,150,0,0,132,0,0,0,0,0,0,0,0,0,0,0,9159.2
+98s,2.048,4,10,protocol,7.5,150,0,0,124,0,0,0,0,0,0,0,0,0,0,0,9082.38
+99s,1.536,3,10,protocol,7.5,150,0,0,135,0,0,0,0,0,0,0,0,0,0,0,8987.97
+100s,2.048,4,10,protocol,7.5,150,0,0,100,0,0,0,0,0,0,0,0,0,0,0,8959.4
+101s,2.048,4,10,protocol,7.5,150,0,0,140,0,0,0,0,0,0,0,0,0,0,0,8929.89
+102s,2.048,4,10,protocol,7.5,150,0,0,160,0,0,0,0,0,0,0,0,0,0,0,8903.83
+103s,2.048,4,10,protocol,7.5,150,0,0,164,0,0,0,0,0,0,0,0,0,0,0,8879.31
