SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
+0s,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+1s,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
+2s,0,0,10,protocol,7.5,30,294,9.8,20,20,1,1,1,1,1,1,1,1,1,1,0.50495
+3s,10.752,21,10,protocol,7.5,40,332,8.3,40,40,1,1,1,1,1,1,1,1,1,1,0.55053
+4s,12.288,24,10,protocol,7.5,40,350,8.75,40,40,1,1,1,1,1,1,1,1,1,1,0.482809
+5s,12.288,24,10,protocol,7.5,40,359,8.975,40,40,1,1,1,1,1,1,1,1,1,1,0.506326
+6s,12.288,24,10,protocol,7.5,40,360,9,40,40,1,1,1,1,1,1,1,1,1,1,0.474774
+7s,12.288,24,10,protocol,7.5,40,354,8.85,40,40,1,1,1,1,1,1,1,1,1,1,0.492225
+8s,11.776,23,10,protocol,7.5,40,325,8.125,40,40,1,1,1,1,1,1,1,1,1,1,0.475062
+9s,10.24,20,10,protocol,7.5,40,219,5.475,40,40,1,1,1,1,1,1,1,1,1,1,0.49866
+10s,8.704,17,10,protocol,7.5,40,112,2.8,40,40,1,1,1,1,1,1,1,1,1,1,0.499347
+11s,8.192,16,10,protocol,7.5,40,100,2.5,40,40,1,1,1,1,1,1,1,1,1,1,0.522227
+12s,8.192,16,10,protocol,7.5,40,100,2.5,40,40,1,1,1,1,1,1,0.625,0.625,0.625,0.625,0.522319
+13s,8.192,16,10,protocol,7.5,40,100,2.5,40,40,1,1,1,1,1,1,0.408163,0.408163,0.408163,0.408163,0.532607
+14s,8.192,16,10,protocol,7.5,40,100,2.5,40,40,1,1,1,1,1,1,0.333333,0.333333,0.333333,0.333333,0.52537
+15s,8.192,16,10,protocol,7.5,40,100,2.5,40,40,1,1,1,1,1,0.645161,0.333333,0.333333,0.333333,0.333333,0.628908
+16s,8.192,16,10,protocol,7.5,40,100,2.5,40,40,1,1,1,1,1,0.487805,0.333333,0.333333,0.333333,0.333333,0.681081
+17s,8.192,16,10,protocol,7.5,40,100,2.5,40,40,1,1,1,1,1,0.333333,0.333333,0.333333,0.333333,0.333333,0.682201
+18s,8.192,16,10,protocol,7.5,40,100,2.5,40,40,1,1,1,1,0.689655,0.333333,0.333333,0.333333,0.333333,0.333333,0.671634
+19s,8.192,16,10,protocol,7.5,40,100,2.5,40,40,1,1,1,1,0.5,0.333333,0.333333,0.333333,0.333333,0.333333,0.667022
+20s,8.192,16,10,protocol,7.5,40,100,2.5,40,40,1,1,1,1,0.377358,0.333333,0.333333,0.333333,0.333333,0.333333,0.657814
+21s,8.192,16,10,protocol,7.5,40,100,2.5,40,40,1,1,1,0.8,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.654416
+22s,8.192,16,10,protocol,7.5,50,210,4.2,40,40,1,1,1,0.5,0.333333,0.333333,0.25,0.25,0.25,0.25,0.644141
+23s,8.192,16,10,protocol,7.5,50,210,4.2,40,40,1,1,1,0.465116,0.333333,0.333333,0.25,0.25,0.25,0.25,0.639047
+24s,8.192,16,10,protocol,7.5,50,214,4.28,40,40,1,1,1,0.333333,0.333333,0.333333,0.25,0.25,0.25,0.25,0.629838
+25s,8.192,16,10,protocol,7.5,50,223,4.46,40,40,1,1,0.512821,0.333333,0.333333,0.285714,0.25,0.25,0.25,0.25,0.625592
+26s,8.192,16,10,protocol,7.5,50,234,4.68,40,40,1,1,0.575,0.383333,0.383333,0.328571,0.2875,0.2875,0.2875,0.2875,0.617466
+27s,8.192,16,10,protocol,7.5,50,263,5.26,40,39,0.975,0.978261,0.703704,0.633333,0.633333,0.542857,0.475,0.475,0.475,0.475,0.613912
+28s,8.192,16,10,protocol,7.5,60,310,5.16667,40,40,1,1,0.716667,0.716667,0.716667,0.477778,0.40566,0.40566,0.40566,0.40566,0.604911
+29s,8.192,16,10,protocol,7.5,60,316,5.26667,40,40,1,1,0.966667,0.966667,0.966667,0.644444,0.527273,0.527273,0.527273,0.527273,0.600642
+30s,6.656,13,10,protocol,7.5,60,263,4.38333,54,54,1,1,1,1,1,0.652174,0.521739,0.521739,0.521739,0.521739,0.593815
+31s,6.144,12,10,protocol,7.5,60,230,3.83333,76,76,1,1,1,1,1,0.6,0.487805,0.487805,0.487805,0.487805,0.591945
+32s,6.144,12,10,protocol,7.5,60,230,3.83333,100,100,1,1,1,1,1,0.6,0.451128,0.451128,0.451128,0.451128,0.586195
+33s,6.144,12,10,protocol,7.5,70,350,5,118,118,1,1,1,1,1,0.526316,0.428571,0.428571,0.428571,0.428571,0.583518
+34s,6.144,12,10,protocol,7.5,70,350,5,102,102,1,1,1,1,0.967742,0.483871,0.428571,0.428571,0.428571,0.428571,0.577273
+35s,6.144,12,10,protocol,7.5,70,337,4.81429,76,76,1,1,1,1,0.779221,0.491803,0.428571,0.428571,0.428571,0.428571,0.574177
+36s,6.144,12,10,protocol,7.5,70,330,4.71429,56,56,1,1,1,1,0.659341,0.46875,0.428571,0.428571,0.428571,0.428571,0.567763
+37s,6.144,12,10,protocol,7.5,70,325,4.64286,40,40,1,1,1,0.857143,0.6,0.461538,0.428571,0.428571,0.428571,0.428571,0.564794
+38s,6.144,12,10,protocol,7.5,70,297,4.24286,40,40,1,1,0.891667,0.677215,0.535,0.411538,0.382143,0.382143,0.382143,0.382143,0.558294
+39s,6.144,12,10,protocol,7.5,70,279,3.98571,40,40,1,0.983333,0.689394,0.56875,0.429245,0.376033,0.325,0.325,0.325,0.325,0.555561
+40s,6.144,12,10,protocol,7.5,70,255,3.64286,40,39,0.975,0.975,0.436709,0.43125,0.294872,0.2875,0.246429,0.246429,0.246429,0.246429,0.549574
+41s,6.144,12,10,protocol,7.5,70,256,3.65714,40,40,1,1,0.478873,0.425,0.283333,0.283333,0.242857,0.242857,0.242857,0.242857,0.547441
+42s,6.144,12,10,protocol,7.5,70,270,3.85714,40,39,0.975,0.977273,0.613636,0.50625,0.3375,0.331967,0.289286,0.289286,0.289286,0.289286,0.541899
+43s,6.144,12,10,protocol,7.5,80,386,4.825,56,56,1,0.976744,0.803279,0.526882,0.376923,0.35,0.326667,0.326667,0.326667,0.326667,0.539015
+44s,6.144,12,10,protocol,7.5,80,382,4.775,40,40,1,0.97,0.808333,0.538889,0.373077,0.346429,0.303125,0.303125,0.303125,0.303125,0.533174
+45s,6.144,12,10,protocol,7.5,80,388,4.85,36,36,1,0.98,0.942308,0.586826,0.379845,0.35,0.27762,0.27762,0.27762,0.27762,0.530688
+46s,6.144,12,10,protocol,7.5,80,384,4.8,20,20,1,1,0.99,0.626582,0.438053,0.353571,0.275,0.275,0.275,0.275,0.525581
+47s,6.144,12,10,protocol,7.5,80,373,4.6625,28,28,1,1,0.96,0.607595,0.436364,0.333333,0.266667,0.266667,0.266667,0.266667,0.523398
+48s,6.144,12,10,protocol,7.5,80,373,4.6625,40,38,0.95,0.95,0.84,0.6,0.451613,0.26087,0.219895,0.219895,0.219895,0.219895,0.518389
+49s,6.144,12,10,protocol,7.5,80,378,4.725,40,40,1,1,0.8,0.571429,0.444444,0.25,0.2,0.2,0.2,0.2,0.516484
+50s,6.144,12,10,protocol,7.5,80,375,4.6875,40,40,1,0.985714,0.79,0.564286,0.434066,0.251592,0.1975,0.1975,0.1975,0.1975,0.511819
+51s,6.144,12,10,protocol,7.5,80,363,4.5375,40,40,1,1,0.760417,0.58871,0.384211,0.25,0.1825,0.1825,0.1825,0.1825,0.51031
+52s,4.096,8,10,protocol,7.5,80,331,4.1375,40,40,1,1,0.75,0.491803,0.277778,0.208333,0.157895,0.157895,0.157895,0.157895,0.507108
+53s,4.096,8,10,protocol,7.5,80,304,3.8,24,22,0.916667,0.966667,0.783784,0.414286,0.27619,0.204225,0.15847,0.15847,0.15847,0.15847,0.506733
+54s,4.096,8,10,protocol,7.5,80,330,4.125,20,20,1,1,1,0.491803,0.3,0.214286,0.170455,0.170455,0.170455,0.170455,0.50374
+55s,4.096,8,10,protocol,7.5,90,339,3.76667,20,20,1,0.983333,0.556604,0.307292,0.21223,0.163889,0.139151,0.139151,0.139151,0.139151,0.502956
+56s,4.096,8,10,protocol,7.5,90,343,3.81111,20,20,1,1,0.541667,0.300926,0.249042,0.180556,0.154762,0.154762,0.154762,0.154762,0.500027
+57s,4.096,8,10,protocol,7.5,90,362,4.02222,20,20,1,0.983333,0.620968,0.381188,0.276978,0.213889,0.191542,0.191542,0.191542,0.191542,0.499044
+58s,4.096,8,10,protocol,7.5,90,357,3.96667,20,20,1,0.966667,0.616667,0.411111,0.272059,0.205556,0.194737,0.194737,0.194737,0.194737,0.495147
+59s,4.096,8,10,protocol,7.5,90,363,4.03333,20,20,1,1,0.536765,0.405556,0.280769,0.225309,0.192105,0.192105,0.192105,0.192105,0.496825
+60s,4.096,8,10,protocol,7.5,90,376,4.17778,20,20,1,1,0.506329,0.40404,0.3125,0.266667,0.210526,0.210526,0.210526,0.210526,0.492929
+61s,4.096,8,10,protocol,7.5,90,397,4.41111,20,20,1,0.942308,0.65625,0.477273,0.4375,0.357143,0.293296,0.293296,0.293296,0.293296,0.491683
+62s,4.096,8,10,protocol,7.5,90,411,4.56667,20,20,1,0.928571,0.7125,0.57,0.475,0.407143,0.335294,0.335294,0.335294,0.335294,0.488009
+63s,4.096,8,10,protocol,7.5,90,405,4.5,20,20,1,0.977273,0.574713,0.5,0.416667,0.337838,0.292398,0.292398,0.292398,0.292398,0.486728
+64s,4.096,8,10,protocol,7.5,130,857,6.59231,66,66,1,0.971963,0.703911,0.63,0.545455,0.466667,0.381818,0.381818,0.381818,0.381818,0.481725
+65s,4.096,8,10,protocol,7.5,130,939,7.22308,88,87,0.988636,0.943182,0.768786,0.665,0.554167,0.492593,0.415625,0.415625,0.415625,0.415625,0.479123
+66s,4.096,8,10,protocol,7.5,130,950,7.30769,102,93,0.911765,0.908451,0.811798,0.7225,0.602083,0.514235,0.43921,0.43921,0.43921,0.43921,0.474718
+67s,4.096,8,10,protocol,7.5,130,1072,8.24615,152,152,1,1,0.994118,0.808612,0.704167,0.563333,0.512121,0.512121,0.512121,0.512121,0.472446
+68s,4.096,8,10,protocol,7.5,130,1077,8.28462,196,196,1,1,1,0.779817,0.699588,0.537975,0.515152,0.515152,0.515152,0.515152,0.468154
+69s,4.096,8,10,protocol,7.5,130,991,7.62308,192,190,0.989583,0.976471,0.976471,0.790476,0.656126,0.51875,0.50303,0.50303,0.50303,0.50303,0.466167
+70s,3.072,6,10,protocol,7.5,130,1020,7.84615,168,168,1,1,1,0.825243,0.636704,0.53125,0.515152,0.515152,0.515152,0.515152,0.462596
+71s,2.048,4,10,protocol,7.5,130,921,7.08462,119,115,0.966387,0.955128,0.908824,0.739234,0.530928,0.482812,0.468182,0.468182,0.468182,0.468182,0.461912
+72s,2.048,4,10,protocol,7.5,130,868,6.67692,100,100,1,0.992647,0.904192,0.712264,0.510135,0.472613,0.460366,0.460366,0.460366,0.460366,0.459007
+73s,2.048,4,10,protocol,7.5,130,716,5.50769,98,95,0.969388,0.945833,0.817073,0.609091,0.462069,0.432258,0.409786,0.409786,0.409786,0.409786,0.45822
+74s,2.048,4,10,protocol,7.5,130,687,5.28462,80,79,0.9875,0.966387,0.81677,0.605991,0.463028,0.424194,0.393713,0.393713,0.393713,0.393713,0.45548
+75s,4.096,8,10,protocol,7.5,130,683,5.25385,74,74,1,0.966981,0.755882,0.611905,0.46223,0.414516,0.369253,0.369253,0.369253,0.369253,0.454274
+76s,4.096,8,10,protocol,7.5,130,661,5.08462,70,70,1,0.962963,0.778125,0.595694,0.478846,0.400322,0.349719,0.349719,0.349719,0.349719,0.451708
+77s,4.096,8,10,protocol,7.5,130,610,4.69231,80,80,1,0.951754,0.799342,0.578571,0.484064,0.384494,0.328378,0.328378,0.328378,0.328378,0.450553
+78s,4.096,8,10,protocol,7.5,130,641,4.93077,80,78,0.975,0.961538,0.806338,0.545238,0.497826,0.358934,0.285536,0.285536,0.285536,0.285536,0.447541
