SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
+0s,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+1s,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
+2s,4.608,9,10,protocol,7.5,30,214,7.13333,20,20,1,1,1,1,1,1,1,1,1,1,0.584821
+3s,12.288,24,10,protocol,7.5,40,252,6.3,40,40,1,1,1,1,1,1,1,1,1,1,0.512341
+4s,10.24,20,10,protocol,7.5,40,270,6.75,40,40,1,1,1,1,1,1,1,1,1,1,0.498521
+5s,13.312,26,10,protocol,7.5,40,279,6.975,40,40,1,1,1,1,1,1,1,1,1,1,0.478537
+6s,13.312,26,10,protocol,7.5,40,280,7,40,40,1,1,1,1,1,1,1,1,1,1,0.460605
+7s,12.288,24,10,protocol,7.5,40,278,6.95,40,40,1,1,1,1,1,1,1,1,1,1,0.451196
+8s,11.776,23,10,protocol,7.5,40,268,6.7,40,40,1,1,1,1,1,1,1,1,1,1,0.442503
+9s,11.776,23,10,protocol,7.5,40,198,4.95,40,40,1,1,1,1,1,1,1,1,1,1,0.445779
+10s,8.704,17,10,protocol,7.5,40,108,2.7,40,40,1,1,1,1,1,1,1,1,1,1,0.462891
+11s,8.192,16,10,protocol,7.5,40,100,2.5,40,40,1,1,1,1,1,1,1,1,1,1,0.465342
+12s,8.192,16,10,protocol,7.5,40,100,2.5,40,40,1,1,1,1,1,1,0.625,0.625,0.625,0.625,0.461469
+13s,8.192,16,10,protocol,7.5,40,100,2.5,40,40,1,1,1,1,1,1,0.408163,0.408163,0.408163,0.408163,0.466436
+14s,8.192,16,10,protocol,7.5,40,100,2.5,40,40,1,1,1,1,1,1,0.333333,0.333333,0.333333,0.333333,0.459817
+15s,8.192,16,10,protocol,7.5,40,100,2.5,40,40,1,1,1,1,1,0.645161,0.333333,0.333333,0.333333,0.333333,0.453195
+16s,8.192,16,10,protocol,7.5,40,100,2.5,40,40,1,1,1,1,1,0.487805,0.333333,0.333333,0.333333,0.333333,0.446835
+17s,8.192,16,10,protocol,7.5,40,100,2.5,40,40,1,1,1,1,1,0.333333,0.333333,0.333333,0.333333,0.333333,0.442822
+18s,8.192,16,10,protocol,7.5,40,100,2.5,40,40,1,1,1,1,0.689655,0.333333,0.333333,0.333333,0.333333,0.333333,0.436418
+19s,8.192,16,10,protocol,7.5,40,100,2.5,40,40,1,1,1,1,0.5,0.333333,0.333333,0.333333,0.333333,0.333333,0.434674
+20s,8.192,16,10,protocol,7.5,40,100,2.5,40,40,1,1,1,1,0.377358,0.333333,0.333333,0.333333,0.333333,0.333333,0.429227
+21s,7.68,15,10,protocol,7.5,40,100,2.5,40,40,1,1,1,0.8,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.428276
+22s,8.192,16,10,protocol,7.5,50,170,3.4,40,40,1,1,1,0.5,0.333333,0.333333,0.25,0.25,0.25,0.25,0.424618
+23s,8.192,16,10,protocol,7.5,50,170,3.4,40,40,1,1,1,0.465116,0.333333,0.333333,0.25,0.25,0.25,0.25,0.423094
+24s,8.192,16,10,protocol,7.5,50,174,3.48,40,40,1,1,1,0.333333,0.333333,0.333333,0.25,0.25,0.25,0.25,0.424426
+25s,8.192,16,10,protocol,7.5,50,183,3.66,40,40,1,1,0.512821,0.333333,0.333333,0.285714,0.25,0.25,0.25,0.25,0.422328
+26s,8.192,16,10,protocol,7.5,50,194,3.88,40,40,1,1,0.575,0.383333,0.383333,0.328571,0.2875,0.2875,0.2875,0.2875,0.417663
+27s,8.192,16,10,protocol,7.5,50,226,4.52,40,39,0.975,0.978261,0.703704,0.633333,0.633333,0.542857,0.475,0.475,0.475,0.475,0.41339
+28s,8.192,16,10,protocol,7.5,60,263,4.38333,40,40,1,1,0.716667,0.716667,0.716667,0.477778,0.40566,0.40566,0.40566,0.40566,0.415741
+29s,8.192,16,10,protocol,7.5,60,286,4.76667,40,40,1,1,0.966667,0.966667,0.966667,0.644444,0.527273,0.527273,0.527273,0.527273,0.414386
+30s,6.656,13,10,protocol,7.5,60,246,4.1,54,54,1,1,1,1,1,0.652174,0.521739,0.521739,0.521739,0.521739,0.412515
+31s,6.144,12,10,protocol,7.5,60,220,3.66667,76,76,1,1,1,1,1,0.6,0.487805,0.487805,0.487805,0.487805,0.412102
+32s,6.144,12,10,protocol,7.5,60,220,3.66667,100,100,1,1,1,1,1,0.6,0.451128,0.451128,0.451128,0.451128,0.411727
+33s,6.144,12,10,protocol,7.5,70,280,4,118,118,1,1,1,1,1,0.526316,0.428571,0.428571,0.428571,0.428571,0.411894
+34s,6.144,12,10,protocol,7.5,70,280,4,102,102,1,1,1,1,0.967742,0.483871,0.428571,0.428571,0.428571,0.428571,0.412865
+35s,6.144,12,10,protocol,7.5,70,267,3.81429,76,76,1,1,1,1,0.779221,0.491803,0.428571,0.428571,0.428571,0.428571,0.412265
+36s,6.144,12,10,protocol,7.5,70,260,3.71429,56,56,1,1,1,1,0.659341,0.46875,0.428571,0.428571,0.428571,0.428571,0.411503
+37s,6.144,12,10,protocol,7.5,70,255,3.64286,40,40,1,1,1,0.857143,0.6,0.461538,0.428571,0.428571,0.428571,0.428571,0.410526
+38s,6.144,12,10,protocol,7.5,70,227,3.24286,40,40,1,1,0.891667,0.677215,0.535,0.411538,0.382143,0.382143,0.382143,0.382143,0.409905
+39s,6.144,12,10,protocol,7.5,70,209,2.98571,40,40,1,0.983333,0.689394,0.56875,0.429245,0.376033,0.325,0.325,0.325,0.325,0.408601
+40s,6.144,12,10,protocol,7.5,70,183,2.61429,40,38,0.95,0.95,0.436709,0.43125,0.294872,0.2875,0.246429,0.246429,0.246429,0.246429,0.407371
+41s,6.144,12,10,protocol,7.5,70,186,2.65714,40,40,1,1,0.485915,0.43125,0.2875,0.2875,0.246429,0.246429,0.246429,0.246429,0.40628
+42s,6.144,12,10,protocol,7.5,70,200,2.85714,40,39,0.975,0.977273,0.613636,0.50625,0.3375,0.331967,0.289286,0.289286,0.289286,0.289286,0.405802
+43s,6.144,12,10,protocol,7.5,80,254,3.175,56,56,1,0.965116,0.795082,0.521505,0.373077,0.346429,0.323333,0.323333,0.323333,0.323333,0.405174
+44s,6.144,12,10,protocol,7.5,80,255,3.1875,40,40,1,0.99,0.825,0.55,0.380769,0.353571,0.309375,0.309375,0.309375,0.309375,0.405259
+45s,6.144,12,10,protocol,7.5,80,259,3.2375,36,36,1,0.98,0.942308,0.586826,0.379845,0.35,0.27762,0.27762,0.27762,0.27762,0.406233
+46s,6.144,12,10,protocol,7.5,80,253,3.1625,20,20,1,1,0.97,0.613924,0.429204,0.346429,0.269444,0.269444,0.269444,0.269444,0.405623
+47s,6.144,12,10,protocol,7.5,80,243,3.0375,28,28,1,1,0.96,0.607595,0.436364,0.333333,0.266667,0.266667,0.266667,0.266667,0.404299
+48s,6.144,12,10,protocol,7.5,80,235,2.9375,40,38,0.95,0.95,0.84,0.6,0.451613,0.26087,0.219895,0.219895,0.219895,0.219895,0.403062
+49s,6.144,12,10,protocol,7.5,80,239,2.9875,40,40,1,1,0.8,0.571429,0.444444,0.25,0.2,0.2,0.2,0.2,0.402381
+50s,6.144,12,10,protocol,7.5,80,233,2.9125,40,40,1,0.971429,0.78,0.557143,0.428571,0.248408,0.195,0.195,0.195,0.195,0.401244
+51s,6.144,12,10,protocol,7.5,80,222,2.775,40,40,1,1,0.75,0.580645,0.378947,0.246575,0.18,0.18,0.18,0.18,0.401527
+52s,4.096,8,10,protocol,7.5,80,195,2.4375,40,40,1,1,0.75,0.491803,0.277778,0.208333,0.157895,0.157895,0.157895,0.157895,0.402355
+53s,4.096,8,10,protocol,7.5,80,178,2.225,24,22,0.916667,0.966667,0.783784,0.414286,0.27619,0.204225,0.15847,0.15847,0.15847,0.15847,0.403151
+54s,4.096,8,10,protocol,7.5,80,190,2.375,20,20,1,1,1,0.491803,0.3,0.214286,0.170455,0.170455,0.170455,0.170455,0.402908
+55s,4.096,8,10,protocol,7.5,90,199,2.21111,20,20,1,0.983333,0.556604,0.307292,0.21223,0.163889,0.139151,0.139151,0.139151,0.139151,0.403009
+56s,4.096,8,10,protocol,7.5,90,203,2.25556,20,20,1,1,0.541667,0.300926,0.249042,0.180556,0.154762,0.154762,0.154762,0.154762,0.401996
+57s,4.096,8,10,protocol,7.5,90,223,2.47778,20,20,1,1,0.629032,0.386139,0.280576,0.216667,0.19403,0.19403,0.19403,0.19403,0.400919
+58s,4.096,8,10,protocol,7.5,90,216,2.4,20,20,1,0.95,0.608333,0.405556,0.268382,0.202778,0.192105,0.192105,0.192105,0.192105,0.399746
+59s,4.096,8,10,protocol,7.5,90,223,2.47778,20,20,1,1,0.544118,0.411111,0.284615,0.228395,0.194737,0.194737,0.194737,0.194737,0.398998
+60s,4.096,8,10,protocol,7.5,90,235,2.61111,20,20,1,0.983333,0.5,0.39899,0.308594,0.263333,0.207895,0.207895,0.207895,0.207895,0.397664
+61s,4.096,8,10,protocol,7.5,90,255,2.83333,20,20,1,0.923077,0.65,0.472727,0.433333,0.353741,0.290503,0.290503,0.290503,0.290503,0.396381
+62s,4.096,8,10,protocol,7.5,90,270,3,20,20,1,0.910714,0.7125,0.57,0.475,0.407143,0.335294,0.335294,0.335294,0.335294,0.395151
+63s,4.096,8,10,protocol,7.5,90,254,2.82222,20,20,1,0.954545,0.563218,0.49,0.408333,0.331081,0.28655,0.28655,0.28655,0.28655,0.39426
+64s,4.096,8,10,protocol,7.5,130,517,3.97692,66,66,1,0.971963,0.703911,0.63,0.545455,0.466667,0.381818,0.381818,0.381818,0.381818,0.392729
+65s,4.096,8,10,protocol,7.5,130,550,4.23077,88,87,0.988636,0.939394,0.765896,0.6625,0.552083,0.490741,0.414062,0.414062,0.414062,0.414062,0.391751
+66s,4.096,8,10,protocol,7.5,130,578,4.44615,102,93,0.911765,0.908451,0.811798,0.7225,0.602083,0.514235,0.43921,0.43921,0.43921,0.43921,0.392066
+67s,4.096,8,10,protocol,7.5,130,659,5.06923,152,152,1,1,0.994118,0.808612,0.704167,0.563333,0.512121,0.512121,0.512121,0.512121,0.390778
+68s,4.096,8,10,protocol,7.5,130,656,5.04615,196,196,1,1,1,0.779817,0.699588,0.537975,0.515152,0.515152,0.515152,0.515152,0.389014
+69s,4.096,8,10,protocol,7.5,130,622,4.78462,192,191,0.994792,0.979412,0.979412,0.792857,0.658103,0.520312,0.504545,0.504545,0.504545,0.504545,0.387265
+70s,3.072,6,10,protocol,7.5,130,632,4.86154,168,168,1,1,1,0.825243,0.636704,0.53125,0.515152,0.515152,0.515152,0.515152,0.386453
+71s,2.048,4,10,protocol,7.5,130,570,4.38462,119,115,0.966387,0.942308,0.9,0.732057,0.525773,0.478125,0.463636,0.463636,0.463636,0.463636,0.38581
+72s,3.072,6,10,protocol,7.5,130,525,4.03846,100,100,1,0.992647,0.904192,0.712264,0.510135,0.472613,0.460366,0.460366,0.460366,0.460366,0.385446
+73s,2.048,4,10,protocol,7.5,130,436,3.35385,98,95,0.969388,0.95,0.820122,0.611364,0.463793,0.433871,0.411315,0.411315,0.411315,0.411315,0.384938
+74s,3.584,7,10,protocol,7.5,130,412,3.16923,80,79,0.9875,0.966387,0.81677,0.605991,0.463028,0.424194,0.393713,0.393713,0.393713,0.393713,0.384262
+75s,4.096,8,10,protocol,7.5,130,406,3.12308,74,74,1,0.966981,0.755882,0.611905,0.46223,0.414516,0.369253,0.369253,0.369253,0.369253,0.383231
+76s,4.096,8,10,protocol,7.5,130,390,3,70,70,1,0.953704,0.76875,0.588517,0.473077,0.395498,0.345506,0.345506,0.345506,0.345506,0.383003
+77s,4.096,8,10,protocol,7.5,130,372,2.86154,80,80,1,0.951754,0.799342,0.578571,0.484064,0.384494,0.328378,0.328378,0.328378,0.328378,0.382134
+78s,2.048,4,10,protocol,7.5,130,370,2.84615,80,78,0.975,0.951923,0.799296,0.540476,0.493478,0.355799,0.283042,0.283042,0.283042,0.283042,0.381921
