SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
+0s,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+1s,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
+2s,4.608,9,10,protocol,7.5,30,214,7.13333,20,20,1,1,1,1,1,1,1,1,1,1,0.68879
+3s,12.288,24,10,protocol,7.5,40,252,6.3,40,40,1,1,1,1,1,1,1,1,1,1,0.522459
+4s,12.288,24,10,protocol,7.5,40,270,6.75,40,40,1,1,1,1,1,1,1,1,1,1,0.453451
+5s,12.288,24,10,protocol,7.5,40,279,6.975,40,40,1,1,1,1,1,1,1,1,1,1,0.421309
+6s,12.288,24,10,protocol,7.5,40,280,7,40,40,1,1,1,1,1,1,1,1,1,1,0.390674
+7s,12.288,24,10,protocol,7.5,40,278,6.95,40,40,1,1,1,1,1,1,1,1,1,1,0.369065
+8s,11.776,23,10,protocol,7.5,40,268,6.7,40,40,1,1,1,1,1,1,1,1,1,1,0.357458
+9s,10.24,20,10,protocol,7.5,40,196,4.9,40,40,1,1,1,1,1,1,1,1,1,1,0.360248
+10s,8.704,17,10,protocol,7.5,40,108,2.7,40,40,1,1,1,1,1,1,1,1,1,1,0.372271
+11s,8.192,16,10,protocol,7.5,40,100,2.5,40,40,1,1,1,1,1,1,1,1,1,1,0.384304
+12s,8.192,16,10,protocol,7.5,40,100,2.5,40,40,1,1,1,1,1,1,0.625,0.625,0.625,0.625,0.393745
+13s,8.192,16,10,protocol,7.5,40,100,2.5,40,40,1,1,1,1,1,1,0.408163,0.408163,0.408163,0.408163,0.401351
+14s,8.192,16,10,protocol,7.5,40,100,2.5,40,40,1,1,1,1,1,1,0.333333,0.333333,0.333333,0.333333,0.40761
+15s,8.192,16,10,protocol,7.5,40,100,2.5,40,40,1,1,1,1,1,0.645161,0.333333,0.333333,0.333333,0.333333,0.412849
+16s,8.192,16,10,protocol,7.5,40,100,2.5,40,40,1,1,1,1,1,0.487805,0.333333,0.333333,0.333333,0.333333,0.441597
+17s,8.192,16,10,protocol,7.5,40,100,2.5,40,40,1,1,1,1,1,0.333333,0.333333,0.333333,0.333333,0.333333,0.443643
+18s,8.192,16,10,protocol,7.5,40,100,2.5,40,40,1,1,1,1,0.689655,0.333333,0.333333,0.333333,0.333333,0.333333,0.44543
+19s,8.192,16,10,protocol,7.5,40,100,2.5,40,40,1,1,1,1,0.5,0.333333,0.333333,0.333333,0.333333,0.333333,0.449304
+20s,8.192,16,10,protocol,7.5,40,100,2.5,40,40,1,1,1,1,0.377358,0.333333,0.333333,0.333333,0.333333,0.333333,0.451645
+21s,8.192,16,10,protocol,7.5,40,100,2.5,40,40,1,1,1,0.8,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.454741
+22s,8.192,16,10,protocol,7.5,50,170,3.4,40,40,1,1,1,0.5,0.333333,0.333333,0.25,0.25,0.25,0.25,0.454207
+23s,8.192,16,10,protocol,7.5,50,170,3.4,40,40,1,1,1,0.465116,0.333333,0.333333,0.25,0.25,0.25,0.25,0.453731
+24s,8.192,16,10,protocol,7.5,50,174,3.48,40,40,1,1,1,0.333333,0.333333,0.333333,0.25,0.25,0.25,0.25,0.45373
+25s,8.192,16,10,protocol,7.5,50,183,3.66,40,40,1,1,0.512821,0.333333,0.333333,0.285714,0.25,0.25,0.25,0.25,0.453628
+26s,8.192,16,10,protocol,7.5,50,194,3.88,40,40,1,1,0.575,0.383333,0.383333,0.328571,0.2875,0.2875,0.2875,0.2875,0.453438
+27s,8.192,16,10,protocol,7.5,50,226,4.52,40,39,0.975,0.978261,0.703704,0.633333,0.633333,0.542857,0.475,0.475,0.475,0.475,0.453079
+28s,8.192,16,10,protocol,7.5,60,264,4.4,40,40,1,1,0.716667,0.716667,0.716667,0.477778,0.40566,0.40566,0.40566,0.40566,0.451727
+29s,8.192,16,10,protocol,7.5,60,286,4.76667,40,40,1,1,0.966667,0.966667,0.966667,0.644444,0.527273,0.527273,0.527273,0.527273,0.450495
+30s,6.656,13,10,protocol,7.5,60,244,4.06667,54,54,1,1,1,1,1,0.652174,0.521739,0.521739,0.521739,0.521739,0.45146
+31s,6.144,12,10,protocol,7.5,60,220,3.66667,76,76,1,1,1,1,1,0.6,0.487805,0.487805,0.487805,0.487805,0.463654
+32s,6.144,12,10,protocol,7.5,60,220,3.66667,100,100,1,1,1,1,1,0.6,0.451128,0.451128,0.451128,0.451128,0.464582
+33s,6.144,12,10,protocol,7.5,70,280,4,118,118,1,1,1,1,1,0.526316,0.428571,0.428571,0.428571,0.428571,0.464587
+34s,6.144,12,10,protocol,7.5,70,280,4,102,102,1,1,1,1,0.967742,0.483871,0.428571,0.428571,0.428571,0.428571,0.465628
+35s,6.144,12,10,protocol,7.5,70,267,3.81429,76,76,1,1,1,1,0.779221,0.491803,0.428571,0.428571,0.428571,0.428571,0.466765
+36s,6.144,12,10,protocol,7.5,70,260,3.71429,56,56,1,1,1,1,0.659341,0.46875,0.428571,0.428571,0.428571,0.428571,0.46775
+37s,6.144,12,10,protocol,7.5,70,254,3.62857,40,40,1,1,1,0.857143,0.6,0.461538,0.428571,0.428571,0.428571,0.428571,0.467635
+38s,6.144,12,10,protocol,7.5,70,227,3.24286,40,40,1,1,0.891667,0.677215,0.535,0.411538,0.382143,0.382143,0.382143,0.382143,0.467638
+39s,6.144,12,10,protocol,7.5,70,209,2.98571,40,40,1,0.983333,0.689394,0.56875,0.429245,0.376033,0.325,0.325,0.325,0.325,0.4678
+40s,6.144,12,10,protocol,7.5,70,186,2.65714,40,39,0.975,0.975,0.443038,0.4375,0.299145,0.291667,0.25,0.25,0.25,0.25,0.467951
+41s,6.144,12,10,protocol,7.5,70,187,2.67143,40,40,1,1,0.485915,0.43125,0.2875,0.2875,0.246429,0.246429,0.246429,0.246429,0.468338
+42s,6.144,12,10,protocol,7.5,70,199,2.84286,40,39,0.975,0.977273,0.613636,0.50625,0.3375,0.331967,0.289286,0.289286,0.289286,0.289286,0.468223
+43s,6.144,12,10,protocol,7.5,80,255,3.1875,56,56,1,0.965116,0.795082,0.521505,0.373077,0.346429,0.323333,0.323333,0.323333,0.323333,0.467528
+44s,6.144,12,10,protocol,7.5,80,254,3.175,40,40,1,0.98,0.816667,0.544444,0.376923,0.35,0.30625,0.30625,0.30625,0.30625,0.466877
+45s,6.144,12,10,protocol,7.5,80,259,3.2375,36,36,1,0.98,0.942308,0.586826,0.379845,0.35,0.27762,0.27762,0.27762,0.27762,0.466267
+46s,6.144,12,10,protocol,7.5,80,254,3.175,20,20,1,1,0.99,0.626582,0.438053,0.353571,0.275,0.275,0.275,0.275,0.469238
+47s,6.144,12,10,protocol,7.5,80,243,3.0375,28,28,1,1,0.96,0.607595,0.436364,0.333333,0.266667,0.266667,0.266667,0.266667,0.465282
+48s,6.144,12,10,protocol,7.5,80,235,2.9375,40,38,0.95,0.95,0.84,0.6,0.451613,0.26087,0.219895,0.219895,0.219895,0.219895,0.461666
+49s,6.144,12,10,protocol,7.5,80,239,2.9875,40,40,1,1,0.8,0.571429,0.444444,0.25,0.2,0.2,0.2,0.2,0.458527
+50s,6.144,12,10,protocol,7.5,80,233,2.9125,40,40,1,0.971429,0.78,0.557143,0.428571,0.248408,0.195,0.195,0.195,0.195,0.45584
+51s,6.144,12,10,protocol,7.5,80,222,2.775,40,40,1,1,0.75,0.580645,0.378947,0.246575,0.18,0.18,0.18,0.18,0.452738
+52s,4.096,8,10,protocol,7.5,80,195,2.4375,40,40,1,1,0.75,0.491803,0.277778,0.208333,0.157895,0.157895,0.157895,0.157895,0.451055
+53s,4.096,8,10,protocol,7.5,80,178,2.225,24,22,0.916667,0.966667,0.783784,0.414286,0.27619,0.204225,0.15847,0.15847,0.15847,0.15847,0.449337
+54s,4.096,8,10,protocol,7.5,80,190,2.375,20,20,1,1,1,0.491803,0.3,0.214286,0.170455,0.170455,0.170455,0.170455,0.447696
+55s,4.096,8,10,protocol,7.5,90,198,2.2,20,20,1,0.983333,0.556604,0.307292,0.21223,0.163889,0.139151,0.139151,0.139151,0.139151,0.445629
+56s,4.096,8,10,protocol,7.5,90,203,2.25556,20,20,1,1,0.541667,0.300926,0.249042,0.180556,0.154762,0.154762,0.154762,0.154762,0.443725
+57s,4.096,8,10,protocol,7.5,90,222,2.46667,20,20,1,0.983333,0.620968,0.381188,0.276978,0.213889,0.191542,0.191542,0.191542,0.191542,0.441873
+58s,4.096,8,10,protocol,7.5,90,215,2.38889,20,20,1,0.95,0.6,0.4,0.264706,0.2,0.189474,0.189474,0.189474,0.189474,0.440068
+59s,4.096,8,10,protocol,7.5,90,223,2.47778,20,20,1,0.983333,0.536765,0.405556,0.280769,0.225309,0.192105,0.192105,0.192105,0.192105,0.438339
+60s,4.096,8,10,protocol,7.5,90,236,2.62222,20,20,1,1,0.512658,0.409091,0.316406,0.27,0.213158,0.213158,0.213158,0.213158,0.436683
+61s,4.096,8,10,protocol,7.5,90,254,2.82222,20,20,1,0.923077,0.65,0.472727,0.433333,0.353741,0.290503,0.290503,0.290503,0.290503,0.441287
+62s,4.096,8,10,protocol,7.5,90,269,2.98889,20,20,1,0.928571,0.7125,0.57,0.475,0.407143,0.335294,0.335294,0.335294,0.335294,0.440266
+63s,4.096,8,10,protocol,7.5,90,258,2.86667,20,20,1,0.988636,0.58046,0.505,0.420833,0.341216,0.295322,0.295322,0.295322,0.295322,0.439273
+64s,4.096,8,10,protocol,7.5,130,521,4.00769,66,66,1,0.971963,0.703911,0.63,0.545455,0.466667,0.381818,0.381818,0.381818,0.381818,0.437302
+65s,4.096,8,10,protocol,7.5,130,552,4.24615,88,87,0.988636,0.943182,0.768786,0.665,0.554167,0.492593,0.415625,0.415625,0.415625,0.415625,0.434542
+66s,4.096,8,10,protocol,7.5,130,578,4.44615,102,93,0.911765,0.908451,0.808989,0.72,0.6,0.512456,0.43769,0.43769,0.43769,0.43769,0.43154
+67s,4.096,8,10,protocol,7.5,130,658,5.06154,152,152,1,1,0.994118,0.808612,0.704167,0.563333,0.512121,0.512121,0.512121,0.512121,0.428764
+68s,4.096,8,10,protocol,7.5,130,656,5.04615,196,196,1,1,1,0.779817,0.699588,0.537975,0.515152,0.515152,0.515152,0.515152,0.425894
+69s,4.096,8,10,protocol,7.5,130,619,4.76154,192,190,0.989583,0.976471,0.976471,0.790476,0.656126,0.51875,0.50303,0.50303,0.50303,0.50303,0.423681
+70s,3.072,6,10,protocol,7.5,130,633,4.86923,168,168,1,1,1,0.825243,0.636704,0.53125,0.515152,0.515152,0.515152,0.515152,0.421591
+71s,2.048,4,10,protocol,7.5,130,574,4.41538,119,115,0.966387,0.955128,0.911765,0.741627,0.532646,0.484375,0.469697,0.469697,0.469697,0.469697,0.420506
+72s,2.048,4,10,protocol,7.5,130,525,4.03846,100,100,1,0.992647,0.904192,0.712264,0.510135,0.472613,0.460366,0.460366,0.460366,0.460366,0.419734
+73s,2.048,4,10,protocol,7.5,130,437,3.36154,98,95,0.969388,0.954167,0.823171,0.613636,0.465517,0.435484,0.412844,0.412844,0.412844,0.412844,0.419223
+74s,2.048,4,10,protocol,7.5,130,403,3.1,80,79,0.9875,0.932773,0.78882,0.585253,0.447183,0.409677,0.38024,0.38024,0.38024,0.38024,0.418363
+75s,2.048,4,10,protocol,7.5,130,407,3.13077,74,74,1,0.971698,0.758824,0.614286,0.464029,0.416129,0.37069,0.37069,0.37069,0.37069,0.417441
+76s,4.096,8,10,protocol,7.5,130,389,2.99231,70,70,1,0.953704,0.76875,0.588517,0.473077,0.395498,0.345506,0.345506,0.345506,0.345506,0.42056
+77s,4.096,8,10,protocol,7.5,130,369,2.83846,80,80,1,0.938596,0.779605,0.564286,0.472112,0.375,0.32027,0.32027,0.32027,0.32027,0.41902
+78s,4.096,8,10,protocol,7.5,130,372,2.86154,80,78,0.975,0.961538,0.802817,0.542857,0.495652,0.357367,0.284289,0.284289,0.284289,0.284289,0.41817
