SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
+0s,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+1s,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+2s,4.608,9,10,protocol,7.5,30,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0.0662058
+3s,12.288,24,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,338133
+4s,12.288,24,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,248522
+5s,12.288,24,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,201395
+6s,12.288,24,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,170340
+7s,12.288,24,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,147582
+8s,11.776,23,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,125686
+9s,11.264,22,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,92627.1
+10s,8.704,17,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,79286.1
+11s,8.192,16,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,75325.7
+12s,8.192,16,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,71973
+13s,8.192,16,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,68764.7
+14s,8.192,16,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,66024.6
+15s,8.192,16,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,63494.4
+16s,8.192,16,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,60953.2
+17s,8.192,16,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,58333.7
+18s,8.192,16,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,56349.8
+19s,8.192,16,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,54496.4
+20s,8.192,16,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,52761
+21s,8.192,16,10,protocol,7.5,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,51132.7
+22s,8.192,16,10,protocol,7.5,50,0,0,40,0,0,0,0,0,0,0,0,0,0,0,49197.4
+23s,8.192,16,10,protocol,7.5,50,0,0,40,0,0,0,0,0,0,0,0,0,0,0,47778.7
+24s,8.192,16,10,protocol,7.5,50,0,0,40,0,0,0,0,0,0,0,0,0,0,0,46401.3
+25s,8.192,16,10,protocol,7.5,50,0,0,40,0,0,0,0,0,0,0,0,0,0,0,45046.3
+26s,8.192,16,10,protocol,7.5,50,0,0,40,0,0,0,0,0,0,0,0,0,0,0,43563.9
+27s,8.192,16,10,protocol,7.5,50,0,0,40,0,0,0,0,0,0,0,0,0,0,0,42220.8
+28s,8.192,16,10,protocol,7.5,60,0,0,40,0,0,0,0,0,0,0,0,0,0,0,40987.7
+29s,8.192,16,10,protocol,7.5,60,0,0,40,0,0,0,0,0,0,0,0,0,0,0,39998.2
+30s,6.656,13,10,protocol,7.5,60,0,0,54,0,0,0,0,0,0,0,0,0,0,0,38235.4
+31s,6.144,12,10,protocol,7.5,60,0,0,76,0,0,0,0,0,0,0,0,0,0,0,37521.8
+32s,6.144,12,10,protocol,7.5,60,0,0,100,0,0,0,0,0,0,0,0,0,0,0,36895
+33s,6.144,12,10,protocol,7.5,70,0,0,118,0,0,0,0,0,0,0,0,0,0,0,36067
+34s,6.144,12,10,protocol,7.5,70,0,0,102,0,0,0,0,0,0,0,0,0,0,0,35465.2
+35s,6.144,12,10,protocol,7.5,70,0,0,76,0,0,0,0,0,0,0,0,0,0,0,34828.9
+36s,6.144,12,10,protocol,7.5,70,0,0,56,0,0,0,0,0,0,0,0,0,0,0,34051.2
+37s,6.144,12,10,protocol,7.5,70,0,0,40,0,0,0,0,0,0,0,0,0,0,0,33435
+38s,6.144,12,10,protocol,7.5,70,0,0,40,0,0,0,0,0,0,0,0,0,0,0,32912.2
+39s,6.144,12,10,protocol,7.5,70,0,0,40,0,0,0,0,0,0,0,0,0,0,0,32410.3
+40s,6.144,12,10,protocol,7.5,70,0,0,40,0,0,0,0,0,0,0,0,0,0,0,31941.6
+41s,6.144,12,10,protocol,7.5,70,0,0,40,0,0,0,0,0,0,0,0,0,0,0,31486.3
+42s,6.144,12,10,protocol,7.5,70,0,0,40,0,0,0,0,0,0,0,0,0,0,0,31026.6
+43s,6.144,12,10,protocol,7.5,80,0,0,56,0,0,0,0,0,0,0,0,0,0,0,30459.7
+44s,6.144,12,10,protocol,7.5,80,0,0,40,0,0,0,0,0,0,0,0,0,0,0,30045.3
+45s,6.144,12,10,protocol,7.5,80,0,0,36,0,0,0,0,0,0,0,0,0,0,0,29587.3
+46s,6.144,12,10,protocol,7.5,80,0,0,20,0,0,0,0,0,0,0,0,0,0,0,29037.4
+47s,6.144,12,10,protocol,7.5,80,0,0,28,0,0,0,0,0,0,0,0,0,0,0,28543.3
+48s,6.144,12,10,protocol,7.5,80,0,0,40,0,0,0,0,0,0,0,0,0,0,0,28179
+49s,6.144,12,10,protocol,7.5,80,0,0,40,0,0,0,0,0,0,0,0,0,0,0,27810.3
+50s,6.144,12,10,protocol,7.5,80,0,0,40,0,0,0,0,0,0,0,0,0,0,0,27464.5
+51s,6.144,12,10,protocol,7.5,80,0,0,40,0,0,0,0,0,0,0,0,0,0,0,27127.1
+52s,4.608,9,10,protocol,7.5,80,0,0,40,0,0,0,0,0,0,0,0,0,0,0,25926.9
+53s,4.096,8,10,protocol,7.5,80,0,0,24,0,0,0,0,0,0,0,0,0,0,0,25695.9
+54s,4.096,8,10,protocol,7.5,80,0,0,20,0,0,0,0,0,0,0,0,0,0,0,25498.1
+55s,4.096,8,10,protocol,7.5,90,0,0,20,0,0,0,0,0,0,0,0,0,0,0,25226
+56s,4.096,8,10,protocol,7.5,90,0,0,20,0,0,0,0,0,0,0,0,0,0,0,24965.4
+57s,4.096,8,10,protocol,7.5,90,0,0,20,0,0,0,0,0,0,0,0,0,0,0,24668.7
+58s,4.096,8,10,protocol,7.5,90,0,0,20,0,0,0,0,0,0,0,0,0,0,0,24486.3
+59s,4.096,8,10,protocol,7.5,90,0,0,20,0,0,0,0,0,0,0,0,0,0,0,24306.6
+60s,4.096,8,10,protocol,7.5,90,0,0,20,0,0,0,0,0,0,0,0,0,0,0,24116.5
+61s,4.096,8,10,protocol,7.5,90,0,0,20,0,0,0,0,0,0,0,0,0,0,0,23921.3
+62s,4.096,8,10,protocol,7.5,90,0,0,20,0,0,0,0,0,0,0,0,0,0,0,23696.8
+63s,4.096,8,10,protocol,7.5,90,0,0,20,0,0,0,0,0,0,0,0,0,0,0,23528.4
+64s,4.096,8,10,protocol,7.5,130,0,0,66,0,0,0,0,0,0,0,0,0,0,0,23004
+65s,4.096,8,10,protocol,7.5,130,0,0,88,0,0,0,0,0,0,0,0,0,0,0,22821.9
+66s,4.096,8,10,protocol,7.5,130,0,0,102,0,0,0,0,0,0,0,0,0,0,0,22447.6
+67s,4.096,8,10,protocol,7.5,130,0,0,152,0,0,0,0,0,0,0,0,0,0,0,22179.9
+68s,4.096,8,10,protocol,7.5,130,0,0,196,0,0,0,0,0,0,0,0,0,0,0,22021.4
+69s,4.096,8,10,protocol,7.5,130,0,0,192,0,0,0,0,0,0,0,0,0,0,0,21867.4
+70s,3.584,7,10,protocol,7.5,130,0,0,168,0,0,0,0,0,0,0,0,0,0,0,21282.1
+71s,4.096,8,10,protocol,7.5,130,0,0,119,0,0,0,0,0,0,0,0,0,0,0,21075.5
+72s,3.584,7,10,protocol,7.5,130,0,0,100,0,0,0,0,0,0,0,0,0,0,0,20791.3
+73s,2.048,4,10,protocol,7.5,130,0,0,98,0,0,0,0,0,0,0,0,0,0,0,20488.8
+74s,6.144,12,10,protocol,7.5,130,0,0,80,0,0,0,0,0,0,0,0,0,0,0,20009.4
+75s,4.096,8,10,protocol,7.5,130,0,0,74,0,0,0,0,0,0,0,0,0,0,0,19809.2
+76s,4.096,8,10,protocol,7.5,130,0,0,70,0,0,0,0,0,0,0,0,0,0,0,19489.3
+77s,4.096,8,10,protocol,7.5,130,0,0,80,0,0,0,0,0,0,0,0,0,0,0,19256
+78s,4.096,8,10,protocol,7.5,130,0,0,80,0,0,0,0,0,0,0,0,0,0,0,18801.1
+79s,4.096,8,10,protocol,7.5,130,0,0,94,0,0,0,0,0,0,0,0,0,0,0,18576.2
+80s,3.584,7,10,protocol,7.5,130,0,0,84,0,0,0,0,0,0,0,0,0,0,0,18105.9
+81s,4.096,8,10,protocol,7.5,130,0,0,80,0,0,0,0,0,0,0,0,0,0,0,17902.9
+82s,3.584,7,10,protocol,7.5,130,0,0,83,0,0,0,0,0,0,0,0,0,0,0,17406.7
+83s,4.096,8,10,protocol,7.5,130,0,0,68,0,0,0,0,0,0,0,0,0,0,0,17218.9
+84s,4.096,8,10,protocol,7.5,130,0,0,60,0,0,0,0,0,0,0,0,0,0,0,17035.2
+85s,4.096,8,10,protocol,7.5,140,0,0,60,0,0,0,0,0,0,0,0,0,0,0,16604.4
+86s,2.56,5,10,protocol,7.5,140,0,0,68,0,0,0,0,0,0,0,0,0,0,0,16273.3
+87s,2.048,4,10,protocol,7.5,140,0,0,96,0,0,0,0,0,0,0,0,0,0,0,16164.4
+88s,2.048,4,10,protocol,7.5,140,0,0,100,0,0,0,0,0,0,0,0,0,0,0,16095.9
+89s,2.048,4,10,protocol,7.5,140,0,0,100,0,0,0,0,0,0,0,0,0,0,0,16036.6
+90s,2.048,4,10,protocol,7.5,140,0,0,86,0,0,0,0,0,0,0,0,0,0,0,15997.8
+91s,2.048,4,10,protocol,7.5,140,0,0,74,0,0,0,0,0,0,0,0,0,0,0,15949.9
+92s,2.048,4,10,protocol,7.5,140,0,0,58,0,0,0,0,0,0,0,0,0,0,0,15882.3
+93s,2.048,4,10,protocol,7.5,140,0,0,60,0,0,0,0,0,0,0,0,0,0,0,15844.2
+94s,2.048,4,10,protocol,7.5,140,0,0,60,0,0,0,0,0,0,0,0,0,0,0,15800.7
+95s,2.048,4,10,protocol,7.5,150,0,0,86,0,0,0,0,0,0,0,0,0,0,0,15660.4
+96s,2.048,4,10,protocol,7.5,150,0,0,110,0,0,0,0,0,0,0,0,0,0,0,14678
+97s,2.048,4,10,protocol,7.5,150,0,0,132,0,0,0,0,0,0,0,0,0,0,0,14533.8
+98s,2.048,4,10,protocol,7.5,150,0,0,124,0,0,0,0,0,0,0,0,0,0,0,14403.4
+99s,1.536,3,10,protocol,7.5,150,0,0,135,0,0,0,0,0,0,0,0,0,0,0,14167.4
+100s,1.536,3,10,protocol,7.5,150,0,0,100,0,0,0,0,0,0,0,0,0,0,0,13909.8
+101s,2.048,4,10,protocol,7.5,150,0,0,140,0,0,0,0,0,0,0,0,0,0,0,13811.4
+102s,2.048,4,10,protocol,7.5,150,0,0,160,0,0,0,0,0,0,0,0,0,0,0,13713.7
+103s,2.048,4,10,protocol,7.5,150,0,0,164,0,0,0,0,0,0,0,0,0,0,0,13624.8
